序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000582.SZ,北部湾港,1.2074,7,14.2857
2,000860.SZ,顺鑫农业,0.9849,3,71.4286
3,002991.SZ,甘源食品,1.1332,6,28.5714
4,300236.SZ,上海新阳,0.9750,2,85.7143
5,600827.SH,百联股份,1.0426,5,42.8571
6,688146.SH,中船特气,0.9692,1,100.0000
7,688150.SH,莱特光电,1.0019,4,57.1429
