序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000875.SZ,吉电股份,1.0323,6,79.1667
2,002023.SZ,海特高新,1.0654,8,70.8333
3,002079.SZ,苏州固锝,1.0275,5,83.3333
4,002182.SZ,宝武镁业,1.0682,9,66.6667
5,300855.SZ,图南股份,1.0073,2,95.8333
6,600888.SH,新疆众和,1.0764,10,62.5000
7,601137.SH,博威合金,0.9961,1,100.0000
8,605111.SH,新洁能,1.0186,4,87.5000
9,605123.SH,派克新材,1.0147,3,91.6667
10,688567.SH,孚能科技,1.0612,7,75.0000
