序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000636.SZ,风华高科,0.9766,1,100.0000
2,000970.SZ,中科三环,1.0318,5,85.7143
3,002396.SZ,星网锐捷,1.0085,2,96.4286
4,002897.SZ,意华股份,1.0444,8,75.0000
5,300618.SZ,寒锐钴业,1.0491,9,71.4286
6,600478.SH,科力远,1.0590,10,67.8571
7,600667.SH,太极实业,1.0372,6,82.1429
8,601137.SH,博威合金,1.0406,7,78.5714
9,688484.SH,南芯科技,1.0172,3,92.8571
10,688549.SH,中巨芯-U,1.0265,4,89.2857
