序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,002126.SZ,银轮股份,1.2818,8,12.5000
2,002176.SZ,江特电机,1.1105,5,50.0000
3,002434.SZ,万里扬,1.1442,7,25.0000
4,600710.SH,苏美达,1.1112,6,37.5000
5,600729.SH,重庆百货,1.0915,4,62.5000
6,600761.SH,安徽合力,1.0890,3,75.0000
7,688007.SH,光峰科技,1.0706,2,87.5000
8,688556.SH,高测股份,1.0298,1,100.0000
