序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000156.SZ,华数传媒,1.1414,6,37.5000
2,000915.SZ,华特达因,1.0705,2,87.5000
3,300463.SZ,迈克生物,1.1402,5,50.0000
4,600456.SH,宝钛股份,1.3203,8,12.5000
5,600710.SH,苏美达,1.1100,4,62.5000
6,600751.SH,海航科技,1.1837,7,25.0000
7,601208.SH,东材科技,1.1022,3,75.0000
8,605589.SH,圣泉集团,1.0548,1,100.0000
