序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000686.SZ,东北证券,1.1232,8,50.0000
2,002100.SZ,天康生物,1.0339,4,78.5714
3,002192.SZ,融捷股份,1.1360,10,35.7143
4,002258.SZ,利尔化学,1.0395,5,71.4286
5,002928.SZ,华夏航空,1.1162,7,57.1429
6,300327.SZ,中颖电子,1.0307,3,85.7143
7,301611.SZ,珂玛科技,0.9992,1,100.0000
8,600338.SH,西藏珠峰,1.1283,9,42.8571
9,605020.SH,永和股份,1.0025,2,92.8571
10,688523.SH,航天环宇,1.1054,6,64.2857
