序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000766.SZ,通化金马,1.0145,5,50.0000
2,002544.SZ,普天科技,0.9868,2,87.5000
3,300034.SZ,钢研高纳,1.0296,8,12.5000
4,300036.SZ,超图软件,1.0162,6,37.5000
5,600478.SH,科力远,0.9938,3,75.0000
6,600621.SH,华鑫股份,1.0101,4,62.5000
7,600761.SH,安徽合力,1.0291,7,25.0000
8,601890.SH,亚星锚链,0.9785,1,100.0000
