序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000422.SZ,湖北宜化,1.0685,8,72.0000
2,000923.SZ,河钢资源,1.0757,10,64.0000
3,002073.SZ,软控股份,1.0734,9,68.0000
4,002125.SZ,湘潭电化,1.0497,4,88.0000
5,002145.SZ,钛能化学,0.9964,1,100.0000
6,002182.SZ,宝武镁业,1.0273,2,96.0000
7,002906.SZ,华阳集团,1.0411,3,92.0000
8,300151.SZ,昌红科技,1.0602,7,76.0000
9,300861.SZ,美畅股份,1.0558,5,84.0000
10,603456.SH,九洲药业,1.0589,6,80.0000
