序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000686.SZ,东北证券,1.0109,4,83.3333
2,002171.SZ,楚江新材,1.0554,8,61.1111
3,002643.SZ,万润股份,1.0077,3,88.8889
4,002897.SZ,意华股份,1.0237,7,66.6667
5,300360.SZ,炬华科技,1.0145,5,77.7778
6,300428.SZ,立中集团,1.0623,9,55.5556
7,600456.SH,宝钛股份,1.0743,10,50.0000
8,600641.SH,先导基电,0.9829,1,100.0000
9,600877.SH,电科芯片,0.9891,2,94.4444
10,688351.SH,微电生理,1.0183,6,72.2222
