序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,002051.SZ,中工国际,1.0658,9,63.6364
2,002139.SZ,拓邦股份,1.0587,6,77.2727
3,002254.SZ,泰和新材,1.0426,3,90.9091
4,002324.SZ,普利特,1.0383,2,95.4545
5,300416.SZ,苏试试验,1.0021,1,100.0000
6,301029.SZ,怡合达,1.0590,7,72.7273
7,600416.SH,湘电股份,1.0534,5,81.8182
8,600621.SH,华鑫股份,1.0434,4,86.3636
9,600864.SH,哈投股份,1.0618,8,68.1818
10,601375.SH,中原证券,1.0711,10,59.0909
