序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,002891.SZ,中宠股份,1.1424,7,25.0000
2,300236.SZ,上海新阳,1.0194,4,62.5000
3,300702.SZ,天宇股份,0.9895,3,75.0000
4,300841.SZ,康华生物,0.9856,2,87.5000
5,301363.SZ,美好医疗,0.9353,1,100.0000
6,600827.SH,百联股份,1.0682,6,37.5000
7,603128.SH,华贸物流,1.2074,8,12.5000
8,688531.SH,日联科技,1.0199,5,50.0000
