序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000612.SZ,焦作万方,0.9730,2,88.8889
2,000680.SZ,山推股份,1.0516,8,22.2222
3,000762.SZ,西藏矿业,1.0286,6,44.4444
4,000829.SZ,天音控股,1.0184,5,55.5556
5,002192.SZ,融捷股份,1.0423,7,33.3333
6,600252.SH,中恒集团,0.9633,1,100.0000
7,600459.SH,贵研铂业,1.0714,9,11.1111
8,600773.SH,西藏城投,0.9831,4,66.6667
9,601677.SH,明泰铝业,0.9821,3,77.7778
