序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000756.SZ,新华制药,1.1067,7,60.0000
2,000913.SZ,钱江摩托,1.0928,6,66.6667
3,002038.SZ,双鹭药业,1.0539,3,86.6667
4,002612.SZ,朗姿股份,1.0352,2,93.3333
5,002925.SZ,盈趣科技,1.1218,9,46.6667
6,300181.SZ,佐力药业,1.1304,10,40.0000
7,300596.SZ,利安隆,1.0208,1,100.0000
8,301047.SZ,义翘神州,1.1179,8,53.3333
9,600216.SH,浙江医药,1.0759,5,73.3333
10,600557.SH,康缘药业,1.0740,4,80.0000
