序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,002126.SZ,银轮股份,1.1075,6,61.5385
2,002139.SZ,拓邦股份,1.0907,5,69.2308
3,002154.SZ,报喜鸟,1.0187,1,100.0000
4,002239.SZ,奥特佳,1.0769,3,84.6154
5,002635.SZ,安洁科技,1.0754,2,92.3077
6,002906.SZ,华阳集团,1.1389,8,46.1538
7,300627.SZ,华测导航,1.1834,9,38.4615
8,600718.SH,东软集团,1.1374,7,53.8462
9,603197.SH,保隆科技,1.2135,10,30.7692
10,603348.SH,文灿股份,1.0842,4,76.9231
