序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,002019.SZ,亿帆医药,1.0260,2,93.7500
2,002151.SZ,北斗星通,1.0559,5,75.0000
3,002534.SZ,西子洁能,1.1085,8,56.2500
4,002675.SZ,东诚药业,1.1112,9,50.0000
5,600073.SH,光明肉业,1.0135,1,100.0000
6,600330.SH,天通股份,1.0491,4,81.2500
7,600587.SH,新华医疗,1.0613,6,68.7500
8,603328.SH,依顿电子,1.0268,3,87.5000
9,603456.SH,九洲药业,1.1137,10,43.7500
10,688586.SH,江航装备,1.0800,7,62.5000
