序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,002063.SZ,远光软件,0.9653,1,100.0000
2,002139.SZ,拓邦股份,1.0577,5,71.4286
3,002174.SZ,游族网络,0.9875,2,92.8571
4,002434.SZ,万里扬,1.1346,10,35.7143
5,002960.SZ,青鸟消防,1.0279,4,78.5714
6,600710.SH,苏美达,1.0736,7,57.1429
7,600718.SH,东软集团,0.9992,3,85.7143
8,600751.SH,海航科技,1.1331,9,42.8571
9,603348.SH,文灿股份,1.0724,6,64.2857
10,688007.SH,光峰科技,1.0812,8,50.0000
