序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000682.SZ,东方电子,1.0580,1,100.0000
2,002487.SZ,大金重工,1.0939,3,66.6667
3,002506.SZ,协鑫集成,1.1538,5,33.3333
4,600478.SH,科力远,1.1018,4,50.0000
5,600761.SH,安徽合力,1.0646,2,83.3333
6,601089.SH,福元医药,1.1557,6,16.6667
