序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,002019.SZ,亿帆医药,1.0480,5,76.4706
2,002073.SZ,软控股份,1.0267,2,94.1176
3,002139.SZ,拓邦股份,1.0513,7,64.7059
4,002176.SZ,江特电机,1.0729,10,47.0588
5,002497.SZ,雅化集团,1.0572,8,58.8235
6,002913.SZ,奥士康,1.0135,1,100.0000
7,300129.SZ,泰胜风能,1.0506,6,70.5882
8,300576.SZ,容大感光,1.0373,3,88.2353
9,300747.SZ,锐科激光,1.0427,4,82.3529
10,300855.SZ,图南股份,1.0708,9,52.9412
