序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000767.SZ,晋控电力,0.9699,1,100.0000
2,002171.SZ,楚江新材,1.0672,10,62.5000
3,002727.SZ,一心堂,1.0295,5,83.3333
4,300428.SZ,立中集团,1.0375,7,75.0000
5,301047.SZ,义翘神州,1.0079,4,87.5000
6,301262.SZ,海看股份,1.0382,8,70.8333
7,301371.SZ,敷尔佳,1.0329,6,79.1667
8,301376.SZ,致欧科技,0.9817,2,95.8333
9,600478.SH,科力远,0.9940,3,91.6667
10,600761.SH,安徽合力,1.0610,9,66.6667
