序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000049.SZ,德赛电池,1.0188,1,100.0000
2,000612.SZ,焦作万方,1.1046,9,65.2174
3,000758.SZ,中色股份,1.0998,8,69.5652
4,000875.SZ,吉电股份,1.0982,7,73.9130
5,002125.SZ,湘潭电化,1.0373,2,95.6522
6,002171.SZ,楚江新材,1.0571,3,91.3043
7,300151.SZ,昌红科技,1.0957,6,78.2609
8,300393.SZ,中来股份,1.0692,4,86.9565
9,600338.SH,西藏珠峰,1.0760,5,82.6087
10,688548.SH,广钢气体,1.1116,10,60.8696
