序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000690.SZ,宝新能源,1.0747,9,60.0000
2,000969.SZ,安泰科技,1.0243,4,85.0000
3,002396.SZ,星网锐捷,1.0674,8,65.0000
4,300151.SZ,昌红科技,1.0793,10,55.0000
5,301029.SZ,怡合达,1.0031,1,100.0000
6,301327.SZ,华宝新能,1.0339,6,75.0000
7,301339.SZ,通行宝,1.0058,2,95.0000
8,600063.SH,皖维高新,1.0545,7,70.0000
9,600621.SH,华鑫股份,1.0208,3,90.0000
10,603612.SH,索通发展,1.0249,5,80.0000
