序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000837.SZ,秦川机床,0.8858,4,84.2105
2,002182.SZ,宝武镁业,0.8904,6,73.6842
3,002239.SZ,奥特佳,0.8868,5,78.9474
4,002396.SZ,星网锐捷,0.9070,8,63.1579
5,002815.SZ,崇达技术,0.9088,9,57.8947
6,002913.SZ,奥士康,0.8398,1,100.0000
7,300679.SZ,电连技术,0.9217,10,52.6316
8,603328.SH,依顿电子,0.8459,2,94.7368
9,603690.SH,至纯科技,0.8766,3,89.4737
10,603915.SH,国茂股份,0.9054,7,68.4211
