序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000970.SZ,中科三环,1.0235,2,92.3077
2,002171.SZ,楚江新材,1.0599,5,69.2308
3,002192.SZ,融捷股份,1.0049,1,100.0000
4,300725.SZ,药石科技,1.0854,9,38.4615
5,300741.SZ,华宝股份,1.1423,10,30.7692
6,300747.SZ,锐科激光,1.0387,4,76.9231
7,301015.SZ,百洋医药,1.0668,6,61.5385
8,600366.SH,宁波韵升,1.0349,3,84.6154
9,600621.SH,华鑫股份,1.0730,7,53.8462
10,600643.SH,爱建集团,1.0823,8,46.1538
