序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000582.SZ,北部湾港,1.0399,3,60.0000
2,002023.SZ,海特高新,1.0496,4,40.0000
3,002859.SZ,洁美科技,1.0209,2,80.0000
4,300841.SZ,康华生物,1.0188,1,100.0000
5,600259.SH,中稀有色,1.1682,5,20.0000
