序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,002019.SZ,亿帆医药,0.9701,1,100.0000
2,300443.SZ,金雷股份,1.0438,4,70.0000
3,300861.SZ,美畅股份,1.2307,10,10.0000
4,301029.SZ,怡合达,1.0308,2,90.0000
5,600210.SH,紫江企业,1.1543,9,20.0000
6,600211.SH,西藏药业,1.1173,7,40.0000
7,600338.SH,西藏珠峰,1.0516,5,60.0000
8,603456.SH,九洲药业,1.0402,3,80.0000
9,688516.SH,奥特维,1.0583,6,50.0000
10,688779.SH,五矿新能,1.1443,8,30.0000
