序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000969.SZ,安泰科技,1.0991,8,63.1579
2,002249.SZ,大洋电机,1.0830,3,89.4737
3,002635.SZ,安洁科技,1.0939,7,68.4211
4,300627.SZ,华测导航,1.0890,6,73.6842
5,300679.SZ,电连技术,1.0887,5,78.9474
6,600621.SH,华鑫股份,1.0632,2,94.7368
7,600864.SH,哈投股份,1.0862,4,84.2105
8,603348.SH,文灿股份,1.0030,1,100.0000
9,605020.SH,永和股份,1.1044,10,52.6316
10,688403.SH,汇成股份,1.0997,9,57.8947
