序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000727.SZ,冠捷科技,1.0676,3,88.8889
2,002010.SZ,传化智联,1.1157,7,66.6667
3,002176.SZ,江特电机,1.0917,5,77.7778
4,002396.SZ,星网锐捷,1.1404,10,50.0000
5,002541.SZ,鸿路钢构,1.1356,9,55.5556
6,002643.SZ,万润股份,1.0581,2,94.4444
7,002960.SZ,青鸟消防,1.1017,6,72.2222
8,300415.SZ,伊之密,1.0768,4,83.3333
9,603888.SH,新华网,1.1255,8,61.1111
10,688531.SH,日联科技,0.9991,1,100.0000
