序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000762.SZ,西藏矿业,0.9682,5,60.0000
2,002192.SZ,融捷股份,1.2217,10,10.0000
3,002258.SZ,利尔化学,1.0093,7,40.0000
4,002396.SZ,星网锐捷,0.9379,3,80.0000
5,300775.SZ,三角防务,0.8675,1,100.0000
6,600201.SH,生物股份,1.1179,9,20.0000
7,600331.SH,宏达股份,1.0119,8,30.0000
8,600456.SH,宝钛股份,0.9382,4,70.0000
9,600773.SH,西藏城投,1.0062,6,50.0000
10,688596.SH,正帆科技,0.8967,2,90.0000
