序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000581.SZ,威孚高科,1.0018,1,100.0000
2,002023.SZ,海特高新,1.0399,7,64.7059
3,300319.SZ,麦捷科技,1.0179,4,82.3529
4,300415.SZ,伊之密,1.0334,6,70.5882
5,300416.SZ,苏试试验,1.0205,5,76.4706
6,300576.SZ,容大感光,1.0074,3,88.2353
7,600330.SH,天通股份,1.0521,8,58.8235
8,600552.SH,凯盛科技,1.0553,9,52.9412
9,605020.SH,永和股份,1.0028,2,94.1176
10,688548.SH,广钢气体,1.0595,10,47.0588
