序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000970.SZ,中科三环,1.0490,5,83.3333
2,300319.SZ,麦捷科技,1.0220,3,91.6667
3,300596.SZ,利安隆,1.0760,9,66.6667
4,300777.SZ,中简科技,1.0573,6,79.1667
5,600531.SH,豫光金铅,1.0416,4,87.5000
6,600559.SH,老白干酒,1.0713,8,70.8333
7,600877.SH,电科芯片,1.0083,1,100.0000
8,600961.SH,株冶集团,1.0764,10,62.5000
9,688146.SH,中船特气,1.0207,2,95.8333
10,688523.SH,航天环宇,1.0647,7,75.0000
