序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,300702.SZ,天宇股份,1.0663,5,42.8571
2,300841.SZ,康华生物,0.9966,1,100.0000
3,600882.SH,妙可蓝多,1.2047,7,14.2857
4,600976.SH,健民集团,1.0511,4,57.1429
5,603093.SH,南华期货,1.0677,6,28.5714
6,688150.SH,莱特光电,1.0072,2,85.7143
7,688268.SH,华特气体,1.0129,3,71.4286
