序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000969.SZ,安泰科技,1.0279,3,71.4286
2,002048.SZ,宁波华翔,0.9527,1,100.0000
3,002434.SZ,万里扬,1.1135,7,14.2857
4,300415.SZ,伊之密,0.9822,2,85.7143
5,600751.SH,海航科技,1.0676,5,42.8571
6,603093.SH,南华期货,1.0474,4,57.1429
7,688556.SH,高测股份,1.0785,6,28.5714
