序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000727.SZ,冠捷科技,1.0909,5,81.8182
2,002079.SZ,苏州固锝,1.0657,3,90.9091
3,002151.SZ,北斗星通,1.0396,1,100.0000
4,002635.SZ,安洁科技,1.1032,7,72.7273
5,002745.SZ,木林森,1.0925,6,77.2727
6,300151.SZ,昌红科技,1.1254,8,68.1818
7,300303.SZ,聚飞光电,1.0644,2,95.4545
8,301589.SZ,诺瓦星云,1.1299,9,63.6364
9,600621.SH,华鑫股份,1.1386,10,59.0909
10,603227.SH,雪峰科技,1.0890,4,86.3636
