序号,证券代码,证券简称,过去10日的价格动量_PIT,过去10日的价格动量_PIT排序,综合评分
1,000065.SZ,北方国际,1.0282,2,95.4545
2,000582.SZ,北部湾港,1.0058,1,100.0000
3,300596.SZ,利安隆,1.0666,8,68.1818
4,600017.SH,日照港,1.0461,6,77.2727
5,600338.SH,西藏珠峰,1.0675,9,63.6364
6,600428.SH,中远海特,1.0738,10,59.0909
7,600621.SH,华鑫股份,1.0444,5,81.8182
8,600751.SH,海航科技,1.0353,4,86.3636
9,600761.SH,安徽合力,1.0488,7,72.7273
10,601975.SH,招商南油,1.0336,3,90.9091
