ts_code,stock_name
600859.SH,王府井
600325.SH,华发股份
600273.SH,嘉化能源
600675.SH,中华企业
600186.SH,莲花控股
002489.SZ,浙江永强
002038.SZ,双鹭药业
300009.SZ,安科生物
002421.SZ,达实智能
002456.SZ,欧菲光
