stock_name,stock_code,trade_date,open,close,high,low,volume,amount,pct_w,pct_chg,amount_chg,exchg,MA_5,MA_10,MA_20,MA_60,EMA_5,EMA_10,EMA_20,EMA_60,RSI,DIF,DEA,ATR,OBV
宝武镁业,002182,2024-11-25,10.6,10.62,10.74,10.37,253014,268387515.54,3.47,-0.28,-0.03,3.25,10.964,10.822,,,10.843,10.852,,,,,,,-1587152.0
奥特佳,002239,2024-11-25,2.94,3.0,3.04,2.91,828780,246760006.62,4.42,2.04,0.06,2.56,3.02,3.055,,,3.016,3.076,,,,,,,-3350798.0
星网锐捷,002396,2024-11-25,17.15,16.9,17.26,16.61,116667,199854779.63,3.8,-1.23,-0.21,2.0,17.474,17.845,,,17.381,17.798,,,,,,,-143360.0
崇达技术,002815,2024-11-25,10.12,9.86,10.14,9.65,513123,510004142.21,4.84,-2.67,-0.27,8.01,10.286,9.932,,,10.101,9.922,,,,,,,853447.0
奥士康,002913,2024-11-25,23.64,23.46,23.64,23.1,29867,71410584.8,2.3,0.13,0.03,1.17,24.154,24.538,,,23.996,24.535,,,,,,,-39220.0
电连技术,300679,2024-11-25,51.25,53.06,53.42,50.44,181832,958643593.0,5.82,3.61,1.85,5.08,51.414,49.461,,,51.289,49.78,,,,,,,514263.0
依顿电子,603328,2024-11-25,8.9,8.86,8.92,8.65,160587,144170987.0,3.05,0.0,0.0,1.61,9.11,9.279,,,9.059,9.284,,,,,,,-447453.0
至纯科技,603690,2024-11-25,25.93,26.15,26.43,25.53,107858,280857758.0,3.46,0.5,0.13,2.8,26.964,27.826,,,26.859,27.855,,,,,,,-98925.0
国茂股份,603915,2024-11-25,11.88,11.81,12.07,11.42,269795,321006999.0,5.45,-1.01,-0.12,4.11,12.136,11.39,,,11.912,11.415,,,,,,,499875.0
秦川机床,000837,2024-11-26,9.2,8.89,9.2,8.86,199564,180087409.0,3.7,-3.37,-0.31,2.06,9.21,9.236,,,9.133,9.305,,,,,,,-712648.0
宝武镁业,002182,2024-11-26,10.65,10.5,11.0,10.46,276823,297594400.4,5.08,-1.13,-0.12,3.55,10.946,10.761,,,10.729,10.788,,,,,,,-1863975.0
奥特佳,002239,2024-11-26,2.98,2.96,3.0,2.95,705895,210035120.94,1.67,-1.33,-0.04,2.18,3.002,3.023,,,2.997,3.055,,,,,,,-4056693.0
星网锐捷,002396,2024-11-26,16.92,16.89,17.25,16.85,76655,132599109.16,2.37,-0.06,-0.01,1.31,17.318,17.612,,,17.217,17.633,,,,,,,-220015.0
崇达技术,002815,2024-11-26,9.86,9.61,9.96,9.59,314743,310045685.16,3.75,-2.54,-0.25,4.91,10.184,9.909,,,9.937,9.865,,,,,,,538704.0
奥士康,002913,2024-11-26,23.38,23.25,23.84,23.22,38434,92806722.0,2.64,-0.9,-0.21,1.5,23.896,24.294,,,23.747,24.301,,,,,,,-77654.0
电连技术,300679,2024-11-26,53.27,51.66,54.78,51.09,161391,858714274.0,6.95,-2.64,-1.4,4.51,51.662,49.759,,,51.413,50.122,,,,,,,352872.0
依顿电子,603328,2024-11-26,8.85,8.79,8.97,8.75,105869,95928595.0,2.48,-0.79,-0.07,1.06,9.012,9.178,,,8.969,9.194,,,,,,,-553322.0
至纯科技,603690,2024-11-26,25.75,25.6,26.35,25.46,79702,206307817.0,3.4,-2.1,-0.55,2.07,26.576,27.345,,,26.439,27.445,,,,,,,-178627.0
国茂股份,603915,2024-11-26,11.66,11.23,11.76,11.17,224328,262053423.0,5.0,-4.91,-0.58,3.42,12.114,11.412,,,11.684,11.381,,,,,,,275547.0
秦川机床,000837,2024-11-27,8.88,9.07,9.07,8.64,202103,179157831.0,4.84,2.02,0.18,2.08,9.126,9.17,,,9.112,9.262,,,,,,,-510545.0
宝武镁业,002182,2024-11-27,10.42,10.6,10.6,10.16,266819,277196205.71,4.19,0.95,0.1,3.43,10.762,10.721,,,10.686,10.754,,,,,,,-1597156.0
奥特佳,002239,2024-11-27,2.96,2.97,2.97,2.86,845418,245483945.0,3.72,0.34,0.01,2.61,2.982,3.001,,,2.988,3.04,,,,,,,-3211275.0
星网锐捷,002396,2024-11-27,16.82,17.11,17.13,16.47,91526,156036431.16,3.91,1.3,0.22,1.57,17.152,17.461,,,17.181,17.538,,,,,,,-128489.0
崇达技术,002815,2024-11-27,9.45,9.65,9.66,9.13,375323,356409494.83,5.52,0.42,0.04,5.86,10.014,9.885,,,9.841,9.826,,,,,,,914027.0
奥士康,002913,2024-11-27,23.11,23.67,23.67,22.66,37991,90320026.0,4.34,1.81,0.42,1.49,23.67,24.085,,,23.722,24.187,,,,,,,-39663.0
电连技术,300679,2024-11-27,51.06,52.44,53.53,49.73,90480,471466511.0,7.36,1.51,0.78,2.53,51.88,50.171,,,51.755,50.543,,,,,,,443352.0
依顿电子,603328,2024-11-27,8.77,8.97,8.98,8.57,144078,129125369.0,4.66,2.05,0.18,1.44,8.944,9.082,,,8.97,9.153,,,,,,,-409244.0
至纯科技,603690,2024-11-27,25.45,25.87,25.9,24.65,125156,316632718.0,4.88,1.05,0.27,3.25,26.234,26.921,,,26.25,27.159,,,,,,,-53471.0
国茂股份,603915,2024-11-27,11.21,11.53,11.56,10.95,200041,231016177.0,5.43,2.67,0.3,3.05,11.92,11.457,,,11.633,11.408,,,,,,,475588.0
秦川机床,000837,2024-11-28,9.08,8.91,9.12,8.89,150174,135528857.49,2.54,-1.76,-0.16,1.55,9.024,9.119,,,9.045,9.198,,,,,,,-660719.0
宝武镁业,002182,2024-11-28,10.63,10.95,11.24,10.61,419339,459849688.64,5.94,3.3,0.35,5.39,10.664,10.751,,,10.774,10.789,,,,,,,-1177817.0
奥特佳,002239,2024-11-28,2.98,2.99,3.05,2.96,844771,254516307.0,3.03,0.67,0.02,2.6,2.972,2.993,,,2.989,3.031,,,,,,,-2366504.0
星网锐捷,002396,2024-11-28,17.07,16.66,17.25,16.63,119978,206105982.98,3.62,-2.63,-0.45,2.06,16.934,17.314,,,17.008,17.378,,,,,,,-248467.0
崇达技术,002815,2024-11-28,9.61,9.38,9.67,9.38,255191,245555174.83,3.01,-2.8,-0.27,3.98,9.726,9.867,,,9.688,9.745,,,,,,,658836.0
奥士康,002913,2024-11-28,23.68,23.24,23.68,23.19,30033,72147781.8,2.07,-1.82,-0.43,1.17,23.41,23.923,,,23.561,24.015,,,,,,,-69696.0
电连技术,300679,2024-11-28,52.52,52.33,52.95,51.3,63581,334865841.0,3.15,-0.21,-0.11,1.78,52.14,50.703,,,51.947,50.868,,,,,,,379771.0
依顿电子,603328,2024-11-28,8.94,8.84,8.98,8.81,110051,100049570.0,1.9,-1.45,-0.13,1.1,8.864,9.024,,,8.926,9.096,,,,,,,-519295.0
至纯科技,603690,2024-11-28,25.85,25.35,26.1,25.31,104488,268219881.0,3.05,-2.01,-0.52,2.71,25.798,26.523,,,25.95,26.83,,,,,,,-157959.0
国茂股份,603915,2024-11-28,11.56,11.29,11.71,11.21,146567,170555342.0,4.34,-2.08,-0.24,2.23,11.558,11.528,,,11.519,11.387,,,,,,,329021.0
秦川机床,000837,2024-11-29,8.89,9.39,9.49,8.83,371544,343335092.0,7.41,5.39,0.48,3.83,9.092,9.147,,,9.16,9.233,,,38.281,,,0.421,-289175.0
宝武镁业,002182,2024-11-29,10.86,10.93,11.0,10.63,265701,289210221.76,3.38,-0.18,-0.02,3.41,10.72,10.798,,,10.826,10.815,,,43.873,,,0.559,-1443518.0
奥特佳,002239,2024-11-29,2.99,3.06,3.08,2.97,1115874,339271965.47,3.68,2.34,0.07,3.44,2.996,3.003,,,3.013,3.036,,,31.818,,,0.119,-1250630.0
星网锐捷,002396,2024-11-29,16.64,16.85,17.12,16.46,128720,219202622.5,3.96,1.14,0.19,2.21,16.882,17.226,,,16.955,17.282,,,34.638,,,0.713,-119747.0
崇达技术,002815,2024-11-29,9.36,9.87,10.17,9.27,527737,519972528.26,9.59,5.22,0.49,8.24,9.674,9.913,,,9.748,9.768,,,49.663,,,0.568,1186573.0
奥士康,002913,2024-11-29,23.2,23.51,23.69,23.04,39260,94250333.45,2.8,1.16,0.27,1.54,23.426,23.826,,,23.544,23.923,,,30.256,,,0.789,-30436.0
电连技术,300679,2024-11-29,52.13,55.22,55.91,51.63,136405,747403359.0,8.18,5.52,2.89,3.81,52.942,51.581,,,53.038,51.659,,,70.922,,,2.828,516176.0
依顿电子,603328,2024-11-29,8.84,9.01,9.11,8.81,141779,130026918.0,3.39,1.92,0.17,1.42,8.894,9.009,,,8.954,9.081,,,33.594,,,0.345,-377516.0
至纯科技,603690,2024-11-29,25.35,26.12,26.63,25.07,133894,347340489.0,6.15,3.04,0.77,3.47,25.818,26.415,,,26.006,26.701,,,27.639,,,1.429,-24065.0
国茂股份,603915,2024-11-29,11.21,11.99,12.21,11.18,291325,349425856.0,9.12,6.2,0.7,4.44,11.57,11.701,,,11.676,11.496,,,55.777,,,0.734,620346.0
秦川机床,000837,2024-12-02,9.51,9.77,9.82,9.49,496196,482851222.49,3.51,4.05,0.38,5.11,9.206,9.241,,,9.363,9.331,,,44.225,,,0.421,207021.0
宝武镁业,002182,2024-12-02,10.9,11.18,11.3,10.84,278856,311158095.39,4.21,2.29,0.25,3.58,10.832,10.898,,,10.944,10.881,,,47.347,,,0.552,-1164662.0
奥特佳,002239,2024-12-02,3.06,3.18,3.19,3.06,1174608,369376873.38,4.25,3.92,0.12,3.62,3.032,3.026,,,3.068,3.062,,,40.549,,,0.119,-76022.0
星网锐捷,002396,2024-12-02,16.81,17.26,17.38,16.76,122339,213733275.79,3.68,2.43,0.41,2.1,16.954,17.214,,,17.057,17.278,,,39.836,,,0.706,2592.0
崇达技术,002815,2024-12-02,9.88,10.07,10.1,9.88,400474,406701594.48,2.23,2.03,0.2,6.25,9.716,10.001,,,9.856,9.823,,,51.987,,,0.544,1587047.0
奥士康,002913,2024-12-02,23.5,23.93,23.97,23.46,37162,90475726.0,2.17,1.79,0.42,1.45,23.52,23.837,,,23.673,23.924,,,35.262,,,0.769,6726.0
电连技术,300679,2024-12-02,56.53,54.97,58.88,54.73,145450,819632267.0,7.52,-0.45,-0.25,4.07,53.324,52.369,,,53.682,52.261,,,69.669,,,2.922,370726.0
依顿电子,603328,2024-12-02,9.06,9.17,9.28,9.06,150424,141218635.0,2.44,1.78,0.16,1.51,8.956,9.033,,,9.026,9.097,,,37.782,,,0.34,-227092.0
至纯科技,603690,2024-12-02,26.22,26.65,26.67,25.91,108287,286788043.0,2.91,2.03,0.53,2.81,25.918,26.441,,,26.221,26.692,,,31.87,,,1.381,84222.0
国茂股份,603915,2024-12-02,12.06,12.37,12.65,12.06,303519,382328282.0,4.92,3.17,0.38,4.62,11.682,11.909,,,11.907,11.655,,,58.217,,,0.729,923865.0
秦川机床,000837,2024-12-03,9.82,9.85,10.05,9.71,491174,487045675.99,3.48,0.82,0.08,5.06,9.398,9.304,,,9.526,9.425,,,45.417,,,0.416,698195.0
宝武镁业,002182,2024-12-03,11.15,11.03,11.17,10.92,206127,228398152.1,2.24,-1.34,-0.15,2.65,10.938,10.942,,,10.973,10.908,,,45.526,,,0.531,-1370789.0
奥特佳,002239,2024-12-03,3.18,3.2,3.2,3.12,1093864,346289483.26,2.52,0.63,0.02,3.37,3.08,3.041,,,3.112,3.087,,,41.884,,,0.117,1017842.0
星网锐捷,002396,2024-12-03,17.29,17.17,17.3,17.0,84444,146931491.0,1.74,-0.52,-0.09,1.45,17.01,17.164,,,17.094,17.258,,,39.101,,,0.677,-81852.0
崇达技术,002815,2024-12-03,10.07,10.1,10.17,9.88,326686,332089740.4,2.88,0.3,0.03,5.1,9.814,9.999,,,9.937,9.873,,,52.342,,,0.526,1913733.0
奥士康,002913,2024-12-03,24.02,23.87,24.03,23.55,26814,65297180.0,2.01,-0.25,-0.06,1.05,23.644,23.77,,,23.738,23.914,,,34.877,,,0.749,-20088.0
